59d7662259e869837b24cafc00825b031bc28e60,MODIFY,regular-file,.gitignore,1470,22
5cbb92590e59b99753a21a49e0c29e9337534e3b,MODIFY,regular-file,Makefile,1782,5-7
0bc444ac658f1b97bc4fd71d68805efa626bf9f0,MODIFY,regular-file,archive/keepalive/README.md,2167,43;62
a6185f00c7197b96b0462daad21e55ca9ea2c539,MODIFY,executable,archive/keepalive/keep_api_warm.py,6793,155-156
9132a79850727f3d20647587ba75e694e8cb1eb9,MODIFY,executable,archive/keepalive/keep_api_warm_simple.py,2060,61
27cb8181eda921c5b31f8d40a6336aeebd73437a,MODIFY,executable,archive/keepalive/start_keepalive.sh,2085,9
7650a6a3c5bd555e98e979e6d79a39368980fa5a,MODIFY,regular-file,backend/monitoring/production_monitoring.py,21273,426;428;536;538
50148fda5bcc0d18968e36de83bc3e1552340d39,MODIFY,regular-file,backend/shared/utils/ngrok_discovery.py,3450,89
1f7826ff631f0012afa39a2298ec2113dace125c,MODIFY,regular-file,backend/testing/cloud_deployment/phase1_validator.py,36507,62;67;752;813;867;906
dccf39f82021c2377c7ff0a16de6e1900b203cdb,MODIFY,regular-file,backend/testing/cloud_deployment/phase2_integration_validator.py,27948,90;92
8608c2677ebfe7ff72540eb115e8d589b7d4713d,MODIFY,regular-file,backend/testing/cloud_deployment/phase2_performance_monitor.py,21789,117;119
4477b6495f2729f4572a316f572b8a3da2723830,MODIFY,regular-file,backend/testing/cloud_deployment/phase3_accessibility_validator.py,22793,539-540
dae7e7b8e524f2d756ac133e4b06094dadd1d457,MODIFY,regular-file,backend/testing/cloud_deployment/phase3_security_validator.py,21889,575-576
bc4c2eb3da3cdd1d99835659153be4551903fda9,MODIFY,regular-file,backend/testing/cloud_deployment/phase4_production_validator.py,17999,450;452
5615accb179cce87f2e148ee4061da2d10a75de3,MODIFY,regular-file,backend/workers/enhanced_base_worker.py,88754,691;697
5ba9377fbb7b466b27ff4439e6319a54bc593ccc,MODIFY,regular-file,config/ENVIRONMENT_CONFIGURATION_GUIDE.md,8873,69;73-74;102;106-107
f35c42e02e3350214adfd9865bd77f0d0bc8d829,MODIFY,regular-file,config/environment/staging.yaml,1936,51
b1c2e7c8cc2faefe3ef455764b136eab6f3dcd0d,MODIFY,regular-file,config/monitoring/cloud_monitoring.yaml,7263,52
79635911cca4ec06dd8fa76932ee524a235fbb82,MODIFY,regular-file,config/render-upload-pipeline-worker.yaml,1992,40;42
942e4d68ea9e2c4e5c87bd8835425fa24033c6ef,MODIFY,regular-file,config/render-upload-pipeline.yaml,2072,26
22ac1bb98b8160af551188808c2bec88872f08e9,MODIFY,regular-file,config/render/README.md,2211,18;24;47;51
